iter	MultiClass
0	1.194986678
1	1.058540634
2	0.9583759823
3	0.8776355582
4	0.8129442716
5	0.7596552873
6	0.7150599347
7	0.6782893025
8	0.645393163
9	0.6171777003
10	0.593102461
11	0.5726745405
12	0.5547089135
13	0.5385179971
14	0.5243890311
15	0.5127072526
16	0.5018670009
17	0.4919711902
18	0.483470593
19	0.4754165906
20	0.4682720693
21	0.4620950202
22	0.4571027039
23	0.4520931187
24	0.4478424463
25	0.4443577079
26	0.441167283
27	0.4381444717
28	0.4352010788
29	0.4326347284
30	0.430657185
31	0.4286002315
32	0.426664933
33	0.4248340052
34	0.4232648085
35	0.4217370833
36	0.4206936851
37	0.4192665541
38	0.4180856196
39	0.4171055626
40	0.416335923
41	0.4153033743
42	0.4141844005
43	0.4135172979
44	0.4128156361
45	0.4122500446
46	0.4116499025
47	0.4109503622
48	0.4103435475
49	0.4099120584
50	0.4093869682
51	0.4089745867
52	0.4084993818
53	0.4079650124
54	0.4076091511
55	0.4071829074
56	0.4067573888
57	0.4063855754
58	0.405945663
59	0.4054824466
60	0.4050952519
61	0.4048322885
62	0.4046621428
63	0.4044203
64	0.40417258
65	0.4038570721
66	0.4036265261
67	0.4034157933
68	0.4031507201
69	0.4029566762
70	0.4027960052
71	0.4025921585
72	0.4021880146
73	0.4020288598
74	0.401772748
75	0.4016215972
76	0.4013462972
77	0.4010097291
78	0.4008224966
79	0.4006502846
80	0.4005321734
81	0.4003833615
82	0.4002449269
83	0.4001418326
84	0.4000135473
85	0.3998323898
86	0.3997046234
87	0.3995227204
88	0.3994283038
89	0.3992967879
90	0.3990477672
91	0.3987898668
92	0.3985845692
93	0.3984242773
94	0.3983622464
95	0.3981591242
96	0.3979201259
97	0.3977126514
98	0.3975894498
99	0.3975203569
