iter	Passed	Remaining
0	9	967
1	19	972
2	31	1028
3	42	1020
4	56	1064
5	67	1051
6	78	1044
7	90	1044
8	104	1054
9	118	1063
10	128	1039
11	140	1030
12	152	1020
13	164	1011
14	174	987
15	183	964
16	193	942
17	203	926
18	214	913
19	224	896
20	235	885
21	245	870
22	255	857
23	266	844
24	277	832
25	287	818
26	298	806
27	308	792
28	318	780
29	330	770
30	340	756
31	351	746
32	361	734
33	371	721
34	382	710
35	394	700
36	403	686
37	415	677
38	426	666
39	437	656
40	450	647
41	460	636
42	471	624
43	482	614
44	491	601
45	500	588
46	510	575
47	521	564
48	531	552
49	540	540
50	552	531
51	562	519
52	573	508
53	585	498
54	595	487
55	604	475
56	615	464
57	626	453
58	636	442
59	645	430
60	655	419
61	665	408
62	674	396
63	683	384
64	693	373
65	703	362
66	714	351
67	724	341
68	737	331
69	748	320
70	759	310
71	768	298
72	779	288
73	787	276
74	797	265
75	806	254
76	816	243
77	827	233
78	836	222
79	847	211
80	857	201
81	866	190
82	876	179
83	886	168
84	895	158
85	904	147
86	913	136
87	923	125
88	932	115
89	940	104
90	951	94
91	961	83
92	970	73
93	979	62
94	987	51
95	999	41
96	1010	31
97	1022	20
98	1031	10
99	1040	0
